Flip Test is used --- False
Turning on evaluation mode...
Loading weight ... TrainedModels/Baseline_alt.pth
Using metric-base binary for evaluation!
Video level evaluation mode: True
Dataset loading time --- 33.268240451812744
Inferencing time --- 593.6264657974243
Inferencing time --- 593.787759065628
Inferencing time --- 593.9397623538971
Inferencing time --- 594.0695729255676
Inferencing time --- 594.2013022899628
Inferencing time --- 594.3303031921387
Inferencing time --- 594.4621026515961
Inferencing time --- 605.0442173480988
Inferencing time --- 605.1982297897339
Inferencing time --- 605.3412902355194
Inferencing time --- 605.4725272655487
Inferencing time --- 605.6034510135651
Inferencing time --- 605.7374086380005
Inferencing time --- 605.8647394180298
Inferencing time --- 615.930362701416
Inferencing time --- 616.0986897945404
Inferencing time --- 616.250905752182
Inferencing time --- 616.3804693222046
Inferencing time --- 616.5120849609375
Inferencing time --- 616.6424160003662
Inferencing time --- 616.7724351882935
Inferencing time --- 625.8461894989014
Inferencing time --- 626.0115323066711
Inferencing time --- 626.1485245227814
Inferencing time --- 626.2779023647308
Inferencing time --- 626.4127705097198
Inferencing time --- 626.5390539169312
Inferencing time --- 626.6706576347351
Inferencing time --- 636.6505100727081
Inferencing time --- 636.8182549476624
Inferencing time --- 636.9618787765503
Inferencing time --- 637.0960648059845
Inferencing time --- 637.2254655361176
Inferencing time --- 637.3557815551758
Inferencing time --- 637.4922120571136
Inferencing time --- 646.5437822341919
Inferencing time --- 646.7062532901764
Inferencing time --- 646.8377068042755
Inferencing time --- 646.9687976837158
Inferencing time --- 647.1007862091064
Inferencing time --- 647.2326266765594
Inferencing time --- 647.3601715564728
Inferencing time --- 657.1857583522797
Inferencing time --- 657.3488187789917
Inferencing time --- 657.478928565979
Inferencing time --- 657.6094024181366
Inferencing time --- 657.7412226200104
Inferencing time --- 657.8713326454163
Inferencing time --- 658.0033543109894
Inferencing time --- 668.494758605957
Inferencing time --- 668.6554343700409
Inferencing time --- 668.8057928085327
Inferencing time --- 668.9384667873383
Inferencing time --- 669.0666477680206
Inferencing time --- 669.1963176727295
Inferencing time --- 669.3271243572235
Inferencing time --- 679.9656059741974
Inferencing time --- 680.1337144374847
Inferencing time --- 680.2830715179443
Inferencing time --- 680.4141533374786
Inferencing time --- 680.5432271957397
Inferencing time --- 680.6732189655304
Inferencing time --- 680.8038454055786
Inferencing time --- 697.6448338031769
Inferencing time --- 697.8119826316833
Inferencing time --- 697.956680059433
Inferencing time --- 698.0848104953766
Inferencing time --- 698.2162892818451
Inferencing time --- 698.3560807704926
Inferencing time --- 698.4811758995056
Inferencing time --- 709.2438604831696
Inferencing time --- 709.4118385314941
Inferencing time --- 709.5666937828064
Inferencing time --- 709.6959536075592
Inferencing time --- 709.8255305290222
Inferencing time --- 709.961954832077
Inferencing time --- 710.0889348983765
Inferencing time --- 735.0694172382355
Inferencing time --- 735.2274262905121
Inferencing time --- 735.3596475124359
Inferencing time --- 735.4911398887634
Inferencing time --- 735.6228082180023
Inferencing time --- 735.7533445358276
Inferencing time --- 735.884649515152
Inferencing time --- 745.6630764007568
Inferencing time --- 745.8342626094818
Inferencing time --- 745.9667222499847
Inferencing time --- 746.093320608139
Inferencing time --- 746.2241084575653
Inferencing time --- 746.3570101261139
Inferencing time --- 746.4895219802856
Inferencing time --- 756.0314347743988
Inferencing time --- 756.1992824077606
Inferencing time --- 756.3473420143127
Inferencing time --- 756.4783563613892
Inferencing time --- 756.6080808639526
Inferencing time --- 756.7395420074463
Inferencing time --- 756.8712174892426
Inferencing time --- 765.7916250228882
Inferencing time --- 765.9503493309021
Inferencing time --- 766.0839786529541
Inferencing time --- 766.2169988155365
Inferencing time --- 767.794341802597
Inferencing time --- 767.9245109558105
Inferencing time --- 768.055793762207
Inferencing time --- 775.979611158371
Inferencing time --- 776.1444323062897
Inferencing time --- 776.2769572734833
Inferencing time --- 776.4065067768097
Inferencing time --- 777.9554347991943
Inferencing time --- 778.087776184082
Inferencing time --- 778.2123527526855
Inferencing time --- 785.9024510383606
Inferencing time --- 786.0599789619446
Inferencing time --- 786.2088742256165
