Loading val dataloader successfully! -- 11.188063621520996
Loading Train dataloader successfully! -- 45.45161485671997
Starting training process...
Epoch: [0][190/510]	Time 0.730s (1.057s)	Speed 43.8 samples/s	Data 0.472s (0.790s)	Loss 374.94809 (414.59253)	Accuracy 0.656 (0.515)	 Cls Loss: 0.68100	 loss_cstency: 197.70924	 loss_hsic: 0.00249
Epoch: [0][195/510]	Time 0.597s (1.050s)	Speed 53.6 samples/s	Data 0.352s (0.784s)	Loss 346.08945 (413.12711)	Accuracy 0.531 (0.516)	 Cls Loss: 0.68562	 loss_cstency: 198.11325	 loss_hsic: 0.00220
Epoch: [0][200/510]	Time 2.128s (1.051s)	Speed 15.0 samples/s	Data 1.854s (0.785s)	Loss 354.17105 (411.74030)	Accuracy 0.531 (0.518)	 Cls Loss: 0.68510	 loss_cstency: 196.36450	 loss_hsic: 0.00277
Epoch: [0][205/510]	Time 0.995s (1.041s)	Speed 32.2 samples/s	Data 0.734s (0.776s)	Loss 359.80908 (410.40237)	Accuracy 0.656 (0.520)	 Cls Loss: 0.67892	 loss_cstency: 199.90033	 loss_hsic: 0.00222
Epoch: [0][210/510]	Time 0.544s (1.043s)	Speed 58.8 samples/s	Data 0.300s (0.778s)	Loss 350.83862 (408.98046)	Accuracy 0.562 (0.521)	 Cls Loss: 0.67947	 loss_cstency: 200.30339	 loss_hsic: 0.00261
Epoch: [0][215/510]	Time 0.546s (1.044s)	Speed 58.6 samples/s	Data 0.301s (0.779s)	Loss 326.18573 (407.60546)	Accuracy 0.594 (0.522)	 Cls Loss: 0.67066	 loss_cstency: 192.99563	 loss_hsic: 0.00218
Epoch: [0][220/510]	Time 0.745s (1.036s)	Speed 42.9 samples/s	Data 0.499s (0.772s)	Loss 333.39001 (406.16778)	Accuracy 0.562 (0.524)	 Cls Loss: 0.67335	 loss_cstency: 187.28914	 loss_hsic: 0.00220
Epoch: [0][225/510]	Time 0.549s (1.035s)	Speed 58.2 samples/s	Data 0.306s (0.770s)	Loss 341.21750 (404.68558)	Accuracy 0.500 (0.525)	 Cls Loss: 0.67872	 loss_cstency: 181.12689	 loss_hsic: 0.00253
Epoch: [0][230/510]	Time 0.646s (1.039s)	Speed 49.6 samples/s	Data 0.383s (0.775s)	Loss 378.22095 (403.47322)	Accuracy 0.531 (0.527)	 Cls Loss: 0.69232	 loss_cstency: 208.83652	 loss_hsic: 0.00263
Epoch: [0][235/510]	Time 0.572s (1.038s)	Speed 56.0 samples/s	Data 0.328s (0.775s)	Loss 322.35898 (402.12595)	Accuracy 0.656 (0.529)	 Cls Loss: 0.65968	 loss_cstency: 179.74248	 loss_hsic: 0.00214
Epoch: [0][240/510]	Time 1.034s (1.032s)	Speed 30.9 samples/s	Data 0.788s (0.768s)	Loss 331.25946 (400.50079)	Accuracy 0.469 (0.531)	 Cls Loss: 0.67762	 loss_cstency: 173.43630	 loss_hsic: 0.00230
Epoch: [0][245/510]	Time 0.609s (1.027s)	Speed 52.6 samples/s	Data 0.364s (0.764s)	Loss 316.11838 (398.95048)	Accuracy 0.719 (0.533)	 Cls Loss: 0.66199	 loss_cstency: 168.05873	 loss_hsic: 0.00238
Epoch: [0][250/510]	Time 0.573s (1.029s)	Speed 55.9 samples/s	Data 0.327s (0.766s)	Loss 325.23438 (397.68373)	Accuracy 0.688 (0.535)	 Cls Loss: 0.66877	 loss_cstency: 160.42514	 loss_hsic: 0.00239
Epoch: [0][255/510]	Time 1.547s (1.027s)	Speed 20.7 samples/s	Data 1.297s (0.765s)	Loss 370.37985 (396.53139)	Accuracy 0.688 (0.537)	 Cls Loss: 0.66050	 loss_cstency: 170.55542	 loss_hsic: 0.00253
Epoch: [0][260/510]	Time 0.689s (1.020s)	Speed 46.4 samples/s	Data 0.442s (0.758s)	Loss 322.93216 (395.23124)	Accuracy 0.594 (0.540)	 Cls Loss: 0.66703	 loss_cstency: 161.67181	 loss_hsic: 0.00247
Epoch: [0][265/510]	Time 0.579s (1.016s)	Speed 55.3 samples/s	Data 0.334s (0.754s)	Loss 308.56967 (393.85411)	Accuracy 0.656 (0.542)	 Cls Loss: 0.66525	 loss_cstency: 152.69305	 loss_hsic: 0.00260
Epoch: [0][270/510]	Time 0.621s (1.015s)	Speed 51.5 samples/s	Data 0.370s (0.754s)	Loss 329.31293 (392.60775)	Accuracy 0.594 (0.543)	 Cls Loss: 0.66764	 loss_cstency: 150.24141	 loss_hsic: 0.00262
Epoch: [0][275/510]	Time 2.770s (1.015s)	Speed 11.6 samples/s	Data 2.493s (0.754s)	Loss 327.15579 (391.24615)	Accuracy 0.719 (0.544)	 Cls Loss: 0.65517	 loss_cstency: 148.84650	 loss_hsic: 0.00228
Epoch: [0][280/510]	Time 0.556s (1.015s)	Speed 57.6 samples/s	Data 0.312s (0.754s)	Loss 342.44073 (390.19957)	Accuracy 0.562 (0.545)	 Cls Loss: 0.67991	 loss_cstency: 148.21023	 loss_hsic: 0.00261
Epoch: [0][285/510]	Time 0.557s (1.020s)	Speed 57.4 samples/s	Data 0.313s (0.759s)	Loss 352.88364 (389.03085)	Accuracy 0.812 (0.548)	 Cls Loss: 0.64878	 loss_cstency: 144.26575	 loss_hsic: 0.00250
Epoch: [0][290/510]	Time 2.626s (1.020s)	Speed 12.2 samples/s	Data 2.361s (0.759s)	Loss 303.56741 (387.66556)	Accuracy 0.594 (0.550)	 Cls Loss: 0.66537	 loss_cstency: 136.33803	 loss_hsic: 0.00264
Epoch: [0][295/510]	Time 0.552s (1.013s)	Speed 57.9 samples/s	Data 0.307s (0.752s)	Loss 313.05414 (386.43685)	Accuracy 0.656 (0.552)	 Cls Loss: 0.64923	 loss_cstency: 140.07808	 loss_hsic: 0.00216
Epoch: [0][300/510]	Time 0.560s (1.010s)	Speed 57.1 samples/s	Data 0.315s (0.750s)	Loss 304.62177 (385.23075)	Accuracy 0.594 (0.554)	 Cls Loss: 0.65836	 loss_cstency: 134.22430	 loss_hsic: 0.00251
Epoch: [0][305/510]	Time 0.537s (1.013s)	Speed 59.6 samples/s	Data 0.293s (0.752s)	Loss 304.05020 (384.21184)	Accuracy 0.688 (0.556)	 Cls Loss: 0.64601	 loss_cstency: 133.49239	 loss_hsic: 0.00248
Epoch: [0][310/510]	Time 0.647s (1.006s)	Speed 49.5 samples/s	Data 0.375s (0.746s)	Loss 293.64948 (382.94141)	Accuracy 0.594 (0.556)	 Cls Loss: 0.67145	 loss_cstency: 126.77404	 loss_hsic: 0.00244
Epoch: [0][315/510]	Time 0.550s (1.005s)	Speed 58.2 samples/s	Data 0.305s (0.745s)	Loss 314.47958 (381.88866)	Accuracy 0.594 (0.557)	 Cls Loss: 0.65943	 loss_cstency: 128.91081	 loss_hsic: 0.00255
Epoch: [0][320/510]	Time 0.741s (1.006s)	Speed 43.2 samples/s	Data 0.483s (0.745s)	Loss 298.54391 (380.73491)	Accuracy 0.656 (0.558)	 Cls Loss: 0.67416	 loss_cstency: 125.13459	 loss_hsic: 0.00209
Epoch: [0][325/510]	Time 3.281s (1.007s)	Speed 9.8 samples/s	Data 3.005s (0.747s)	Loss 297.96082 (379.63907)	Accuracy 0.625 (0.559)	 Cls Loss: 0.65764	 loss_cstency: 133.16361	 loss_hsic: 0.00222
Epoch: [0][330/510]	Time 0.796s (1.002s)	Speed 40.2 samples/s	Data 0.544s (0.742s)	Loss 314.42355 (378.69993)	Accuracy 0.656 (0.560)	 Cls Loss: 0.67004	 loss_cstency: 122.70749	 loss_hsic: 0.00234
Epoch: [0][335/510]	Time 0.530s (0.999s)	Speed 60.3 samples/s	Data 0.287s (0.739s)	Loss 282.97516 (377.41308)	Accuracy 0.688 (0.562)	 Cls Loss: 0.65479	 loss_cstency: 114.17864	 loss_hsic: 0.00231
Epoch: [0][340/510]	Time 0.568s (0.997s)	Speed 56.3 samples/s	Data 0.323s (0.738s)	Loss 294.09268 (376.38987)	Accuracy 0.562 (0.563)	 Cls Loss: 0.67972	 loss_cstency: 113.36254	 loss_hsic: 0.00231
